fold,item_id,item_name,train_rows,none_rows,masked_rows,dropped_rows,eff_train_rows,pct_removed,gold3_rows,gold3_removed,pct_gold3_removed,pct_gold23_removed,gold_dist_before,gold_dist_after,cw_before,cw_after,class_absent_after,warn_gt40pct,warn_gt30pct_gold3,warn_class_disappears
4,5,Appetite,175,160,160,160,15,0.914,17,13,0.765,0.867,"{""0"": 79, ""1"": 51, ""2"": 28, ""3"": 17}","{""0"": 6, ""1"": 3, ""2"": 2, ""3"": 4}","[0.554, 0.858, 1.562, 2.574]","[0.625, 1.25, 1.875, 0.938]",[],True,True,False
4,6,Failure,175,79,79,79,96,0.451,18,6,0.333,0.465,"{""0"": 84, ""1"": 48, ""2"": 25, ""3"": 18}","{""0"": 49, ""1"": 24, ""2"": 11, ""3"": 12}","[0.521, 0.911, 1.75, 2.431]","[0.49, 1.0, 2.182, 2.0]",[],True,True,False
4,7,Concentrating,175,126,126,126,49,0.72,17,8,0.471,0.649,"{""0"": 100, ""1"": 38, ""2"": 20, ""3"": 17}","{""0"": 25, ""1"": 11, ""2"": 4, ""3"": 9}","[0.438, 1.151, 2.188, 2.574]","[0.49, 1.114, 3.062, 1.361]",[],True,True,False
4,8,Moving,175,153,153,153,22,0.874,7,6,0.857,0.882,"{""0"": 133, ""1"": 25, ""2"": 10, ""3"": 7}","{""0"": 19, ""1"": 1, ""2"": 1, ""3"": 1}","[0.329, 1.75, 4.375, 6.25]","[0.289, 5.5, 5.5, 5.5]",[],True,True,False
5,1,NoInterest,175,112,112,112,63,0.64,6,4,0.667,0.462,"{""0"": 85, ""1"": 64, ""2"": 20, ""3"": 6}","{""0"": 25, ""1"": 24, ""2"": 12, ""3"": 2}","[0.515, 0.684, 2.188, 7.292]","[0.63, 0.656, 1.312, 7.875]",[],True,True,False
5,2,Depressed,175,66,66,66,109,0.377,13,0,0.0,0.257,"{""0"": 74, ""1"": 66, ""2"": 22, ""3"": 13}","{""0"": 37, ""1"": 46, ""2"": 13, ""3"": 13}","[0.591, 0.663, 1.989, 3.365]","[0.736, 0.592, 2.096, 2.096]",[],False,False,False
5,3,Sleep,175,67,67,67,108,0.383,28,5,0.179,0.208,"{""0"": 77, ""1"": 45, ""2"": 25, ""3"": 28}","{""0"": 35, ""1"": 31, ""2"": 19, ""3"": 23}","[0.568, 0.972, 1.75, 1.562]","[0.771, 0.871, 1.421, 1.174]",[],False,False,False
5,4,Tired,175,83,83,83,92,0.474,22,9,0.409,0.353,"{""0"": 51, ""1"": 73, ""2"": 29, ""3"": 22}","{""0"": 17, ""1"": 42, ""2"": 20, ""3"": 13}","[0.858, 0.599, 1.509, 1.989]","[1.353, 0.548, 1.15, 1.769]",[],True,True,False
5,5,Appetite,175,161,161,161,14,0.92,19,17,0.895,0.932,"{""0"": 79, ""1"": 52, ""2"": 25, ""3"": 19}","{""0"": 8, ""1"": 3, ""2"": 1, ""3"": 2}","[0.554, 0.841, 1.75, 2.303]","[0.438, 1.167, 3.5, 1.75]",[],True,True,False
5,6,Failure,175,80,80,80,95,0.457,19,8,0.421,0.5,"{""0"": 82, ""1"": 47, ""2"": 27, ""3"": 19}","{""0"": 46, ""1"": 26, ""2"": 12, ""3"": 11}","[0.534, 0.931, 1.62, 2.303]","[0.516, 0.913, 1.979, 2.159]",[],True,True,False
5,7,Concentrating,175,124,124,124,51,0.709,15,8,0.533,0.667,"{""0"": 100, ""1"": 42, ""2"": 18, ""3"": 15}","{""0"": 27, ""1"": 13, ""2"": 4, ""3"": 7}","[0.438, 1.042, 2.431, 2.917]","[0.472, 0.981, 3.188, 1.821]",[],True,True,False
5,8,Moving,175,150,150,150,25,0.857,6,5,0.833,0.786,"{""0"": 134, ""1"": 27, ""2"": 8, ""3"": 6}","{""0"": 20, ""1"": 2, ""2"": 2, ""3"": 1}","[0.326, 1.62, 5.469, 7.292]","[0.312, 3.125, 3.125, 6.25]",[],True,True,False
